first_name,p_jewish
avraham,0.97
binyamin,0.97
chaim,0.97
chayim,0.97
eliyahu,0.97
menachem,0.97
moishe,0.97
mordechai,0.97
moshe,0.97
shlomo,0.97
shmuel,0.97
shmuli,0.97
yaakov,0.97
yehoshua,0.97
yehuda,0.97
yehudah,0.97
yisrael,0.97
yitzchak,0.97
yitzhak,0.97
yosef,0.97
yossef,0.97
avrum,0.95
boruch,0.95
dovid,0.95
efraim,0.95
eliezer,0.95
ephraim,0.95
hadassah,0.95
hillel,0.95
naftali,0.95
rivkah,0.95
sheindel,0.95
sheindy,0.95
shimon,0.95
shlomi,0.95
shmully,0.95
shoshana,0.95
shoshanna,0.95
simcha,0.95
simchah,0.95
tzipora,0.95
tzipporah,0.95
tzippy,0.95
tzvi,0.95
yakov,0.95
yechiel,0.95
yedidya,0.95
yochanan,0.95
yossi,0.95
zipporah,0.95
aryeh,0.92
aviva,0.92
ayelet,0.92
baruch,0.92
chana,0.92
channa,0.92
chaya,0.92
devorah,0.92
dov,0.92
efrat,0.92
eitan,0.92
gilad,0.92
hagit,0.92
kfir,0.92
maayan,0.92
meir,0.92
mendel,0.92
mordy,0.92
nadav,0.92
rivka,0.92
shifra,0.92
shimona,0.92
shira,0.92
shoshi,0.92
tehila,0.92
tuvia,0.92
yael,0.92
yair,0.92
yardena,0.92
yedidiah,0.92
yishai,0.92
yishaya,0.92
yitz,0.92
yochi,0.92
yoel,0.92
yonatan,0.92
yoni,0.92
zalman,0.92
ze'ev,0.92
zevy,0.92
amitai,0.9
aviv,0.9
tovah,0.9
avi,0.85
ayala,0.85
dovi,0.85
elad,0.85
eliana,0.85
esti,0.85
ezra,0.85
galit,0.85
gavi,0.85
gidon,0.85
hadar,0.85
hila,0.85
ido,0.85
ilan,0.85
ilana,0.85
inbal,0.85
inbar,0.85
irit,0.85
ivri,0.85
iyar,0.85
leor,0.85
leora,0.85
lior,0.85
liora,0.85
liron,0.85
maor,0.85
matan,0.85
mattan,0.85
mendy,0.85
mirit,0.85
noa,0.85
noam,0.85
ofer,0.85
ofir,0.85
ohad,0.85
omri,0.85
orit,0.85
orly,0.85
raanan,0.85
reut,0.85
ronen,0.85
ronit,0.85
rotem,0.85
shaina,0.85
shavit,0.85
shayna,0.85
shirit,0.85
sivan,0.85
tali,0.85
talya,0.85
tamar,0.85
teitel,0.85
tova,0.85
uriel,0.85
uzi,0.85
uziel,0.85
yarden,0.85
yaron,0.85
yigal,0.85
yoav,0.85
yonah,0.85
yovel,0.85
zelig,0.85
zev,0.85
zohar,0.85
arie,0.8
oren,0.75
abram,0.7
amit,0.7
ari,0.7
asher,0.7
barak,0.7
dinah,0.7
elan,0.7
elia,0.7
elie,0.7
elisha,0.7
gad,0.7
gali,0.7
levi,0.7
miri,0.7
natan,0.7
ori,0.7
razi,0.7
ruti,0.7
shai,0.7
tal,0.7
talia,0.7
tani,0.7
uri,0.7
zelda,0.7
zissel,0.7
gal,0.65
gideon,0.65
raz,0.65
amir,0.6
gabi,0.6
isadore,0.6
isidore,0.6
matti,0.6
miriam,0.6
shana,0.6
benji,0.55
dina,0.55
eli,0.55
esther,0.55
jordana,0.55
judah,0.55
leah,0.55
mayer,0.55
michal,0.55
omer,0.55
raphael,0.55
reuben,0.55
ruben,0.55
sari,0.55
shay,0.55
solomon,0.55
tamara,0.55
abraham,0.5
elon,0.5
jakob,0.5
lev,0.5
shari,0.5
sol,0.5
ziggy,0.5
abe,0.45
benjamin,0.45
dani,0.45
ira,0.45
naomi,0.45
rachel,0.45
roni,0.45
benny,0.4
deborah,0.4
hanna,0.4
isaac,0.4
jonah,0.4
judith,0.4
lea,0.4
or,0.4
rebekah,0.4
ruth,0.4
sara,0.4
shanna,0.4
hannah,0.35
jacob,0.35
rebecca,0.35
daniel,0.3
david,0.3
joel,0.3
jonas,0.3
nathan,0.3
rachael,0.3
sarah,0.3
zoya,0.3
elijah,0.25
ethan,0.25
gabriel,0.25
jonathan,0.25
josh,0.25
joshua,0.25
noah,0.25
danny,0.2
gabriella,0.2
joseph,0.2
sharon,0.2
zachary,0.2
ben,0.15
jake,0.15
jonny,0.15
zac,0.15
zack,0.15
guy,0.1
joey,0.1
ron,0.1
tammy,0.1
tanya,0.1
michael,0.05
shauna,0.05
