last_name,p_jewish
abbas,0.03
abdullah,0.03
ade,0.03
adebayo,0.03
adeyemi,0.03
afolabi,0.03
agarwal,0.03
ahmad,0.03
ahmed,0.03
ahn,0.03
ali,0.03
allen,0.03
alvarez,0.03
anderson,0.03
andrews,0.03
armstrong,0.03
arnold,0.03
asare,0.03
austin,0.03
bailey,0.03
baker,0.03
barbieri,0.03
berry,0.03
bianchi,0.03
black,0.03
boateng,0.03
boyd,0.03
bradley,0.03
brown,0.03
bruno,0.03
bui,0.03
burns,0.03
byrne,0.03
campbell,0.03
carpenter,0.03
carroll,0.03
carter,0.03
castillo,0.03
chavez,0.03
chen,0.03
choi,0.03
chopra,0.03
clark,0.03
cole,0.03
collins,0.03
colombo,0.03
conti,0.03
cook,0.03
cooper,0.03
cox,0.03
crawford,0.03
cruz,0.03
cunningham,0.03
dang,0.03
daniels,0.03
davis,0.03
delacruz,0.03
desai,0.03
deshmukh,0.03
diaz,0.03
dixon,0.03
doherty,0.03
duncan,0.03
dunn,0.03
edwards,0.03
elliott,0.03
ellis,0.03
esposito,0.03
evans,0.03
fadel,0.03
ferguson,0.03
ferrari,0.03
fisher,0.03
fitzgerald,0.03
fitzpatrick,0.03
flores,0.03
fontana,0.03
ford,0.03
foster,0.03
fox,0.03
franklin,0.03
freeman,0.03
gallo,0.03
gao,0.03
garcia,0.03
gardner,0.03
gibson,0.03
gomez,0.03
gonzalez,0.03
gordon,0.03
graham,0.03
grant,0.03
greco,0.03
green,0.03
greene,0.03
griffin,0.03
guo,0.03
gupta,0.03
gutierrez,0.03
habib,0.03
hall,0.03
hamilton,0.03
han,0.03
haque,0.03
harper,0.03
harris,0.03
harrison,0.03
hart,0.03
hassan,0.03
hawkins,0.03
hayes,0.03
he,0.03
henry,0.03
hernandez,0.03
hicks,0.03
holmes,0.03
howard,0.03
hu,0.03
huang,0.03
hudson,0.03
hunt,0.03
hunter,0.03
hussain,0.03
huynh,0.03
hwang,0.03
ibrahim,0.03
inoue,0.03
ito,0.03
iyengar,0.03
iyer,0.03
jackson,0.03
jimenez,0.03
johnson,0.03
jones,0.03
jordan,0.03
joshi,0.03
jung,0.03
kang,0.03
kapoor,0.03
kelley,0.03
kelly,0.03
kennedy,0.03
khan,0.03
kim,0.03
king,0.03
knight,0.03
kobayashi,0.03
krishnan,0.03
kulkarni,0.03
kumar,0.03
kwon,0.03
lane,0.03
lawrence,0.03
lawson,0.03
le,0.03
lewis,0.03
li,0.03
lim,0.03
lin,0.03
liu,0.03
lombardi,0.03
long,0.03
lopez,0.03
ma,0.03
macdonald,0.03
malik,0.03
marino,0.03
marshall,0.03
martinez,0.03
mason,0.03
matsumoto,0.03
matthews,0.03
mccarthy,0.03
mcdonald,0.03
mehta,0.03
mendoza,0.03
menon,0.03
mensah,0.03
mills,0.03
mitchell,0.03
mohamed,0.03
mohammed,0.03
morales,0.03
moreno,0.03
moretti,0.03
morgan,0.03
morris,0.03
murphy,0.03
murray,0.03
myers,0.03
nair,0.03
nakamura,0.03
navarro,0.03
nelson,0.03
nguyen,0.03
nichols,0.03
obrien,0.03
oconnor,0.03
ojo,0.03
okafor,0.03
okonkwo,0.03
olson,0.03
ortiz,0.03
owens,0.03
owusu,0.03
palmer,0.03
park,0.03
parker,0.03
patel,0.03
payne,0.03
perez,0.03
perkins,0.03
peters,0.03
pham,0.03
phillips,0.03
pierce,0.03
porter,0.03
qureshi,0.03
rahman,0.03
ramirez,0.03
ramos,0.03
rao,0.03
ray,0.03
reddy,0.03
reed,0.03
reyes,0.03
reynolds,0.03
ricci,0.03
rice,0.03
richardson,0.03
riley,0.03
rivera,0.03
rizzo,0.03
roberts,0.03
robertson,0.03
robinson,0.03
rodriguez,0.03
rogers,0.03
romano,0.03
romero,0.03
rose,0.03
ruiz,0.03
russell,0.03
russo,0.03
ryan,0.03
ryu,0.03
saad,0.03
saleh,0.03
sanchez,0.03
santoro,0.03
santos,0.03
sasaki,0.03
sato,0.03
scott,0.03
sethi,0.03
shah,0.03
sharma,0.03
shaw,0.03
shin,0.03
siddiqui,0.03
simpson,0.03
sims,0.03
singh,0.03
smith,0.03
snyder,0.03
song,0.03
spencer,0.03
stephens,0.03
stevens,0.03
stewart,0.03
stone,0.03
sullivan,0.03
sun,0.03
suzuki,0.03
tanaka,0.03
thomas,0.03
torres,0.03
tran,0.03
tucker,0.03
turner,0.03
vargas,0.03
vasquez,0.03
verma,0.03
vitale,0.03
vo,0.03
vu,0.03
wagner,0.03
walker,0.03
wallace,0.03
walsh,0.03
wang,0.03
ward,0.03
warren,0.03
watanabe,0.03
watkins,0.03
weaver,0.03
webb,0.03
wells,0.03
west,0.03
williams,0.03
willis,0.03
wilson,0.03
woods,0.03
wright,0.03
wu,0.03
xu,0.03
yamada,0.03
yamamoto,0.03
yang,0.03
yoon,0.03
yoshida,0.03
young,0.03
zhang,0.03
zhao,0.03
zhou,0.03
zhu,0.03
