last_name,p_jewish
finkelstein,0.97
halevi,0.97
halevy,0.97
manischewitz,0.97
rabinowitz,0.97
rothschild,0.97
abramowitz,0.95
berkowitz,0.95
bernstein,0.95
cohen,0.95
davidovitz,0.95
eisenberg,0.95
epstein,0.95
feigenbaum,0.95
feinberg,0.95
feingold,0.95
feinstein,0.95
frydman,0.95
garfinkel,0.95
ginsberg,0.95
ginsburg,0.95
goldberg,0.95
goldenberg,0.95
goldfarb,0.95
goldhirsch,0.95
goldstein,0.95
goldwasser,0.95
herzl,0.95
horowitz,0.95
hurwitz,0.95
kahanovitz,0.95
kantrowitz,0.95
kohen,0.95
kosher,0.95
kotlowitz,0.95
lefkowitz,0.95
leibowitz,0.95
levenstein,0.95
liebowitz,0.95
lifshitz,0.95
lipschitz,0.95
lipshitz,0.95
markowitz,0.95
mizrahi,0.95
moskowitz,0.95
rabinovich,0.95
rabinovitch,0.95
rabinovitz,0.95
rosenstein,0.95
rosenzweig,0.95
rubinstein,0.95
steinberg,0.95
teitelbaum,0.95
weinstein,0.95
weintraub,0.95
yeshiva,0.95
yiddish,0.95
yontif,0.95
zuckerberg,0.95
greenberg,0.93
rosenbaum,0.93
rosenberg,0.93
rosenbloom,0.93
rosenblum,0.93
rosenfeld,0.93
rothstein,0.93
weinberg,0.93
edelstein,0.92
feldman,0.92
feldstein,0.92
glickstein,0.92
goldfeld,0.92
greenblatt,0.92
hirschberg,0.92
hirschfeld,0.92
hirschhorn,0.92
hirshberg,0.92
jaffe,0.92
jaffee,0.92
katz,0.92
kestenbaum,0.92
kupferberg,0.92
levenson,0.92
leventhal,0.92
lichtenstein,0.92
lieberman,0.92
mandelbaum,0.92
margolis,0.92
margulies,0.92
milstein,0.92
orenstein,0.92
ornstein,0.92
perlman,0.92
perlmutter,0.92
perlstein,0.92
rabinow,0.92
rapaport,0.92
rapoport,0.92
rappaport,0.92
rosenthal,0.92
rothberg,0.92
rothblatt,0.92
rothman,0.92
schapiro,0.92
scheinberg,0.92
schwartzman,0.92
segal,0.92
shapira,0.92
shapiro,0.92
silberman,0.92
silberstein,0.92
silverberg,0.92
silverman,0.92
silverstein,0.92
sternberg,0.92
streisand,0.92
tannenbaum,0.92
tenenbaum,0.92
vainshtein,0.92
weinblatt,0.92
weinfeld,0.92
weingarten,0.92
weingold,0.92
weisberg,0.92
weisman,0.92
weissman,0.92
weitzman,0.92
wiesel,0.92
yaffe,0.92
zilberman,0.92
zuckerman,0.92
zukerman,0.92
abramoff,0.9
abramson,0.9
baruch,0.9
berman,0.9
blumenstein,0.9
blumenthal,0.9
caplan,0.9
dubinsky,0.9
finkelman,0.9
frankel,0.9
friedman,0.9
friedmann,0.9
gerstein,0.9
glickman,0.9
goldman,0.9
halperin,0.9
halpern,0.9
hirschman,0.9
kahan,0.9
kahane,0.9
kaplan,0.9
kornberg,0.9
levine,0.9
levitt,0.9
levy,0.9
lichtenberg,0.9
liebermann,0.9
loewenstein,0.9
lowenstein,0.9
melamed,0.9
mendelsohn,0.9
pomerantz,0.9
rosenwald,0.9
rosenwasser,0.9
rotenberg,0.9
schneiderman,0.9
schwartzberg,0.9
segall,0.9
segel,0.9
siegel,0.9
speilberg,0.9
spielberg,0.9
steingold,0.9
weissberg,0.9
weissmann,0.9
abrahamson,0.85
abramov,0.85
alpern,0.85
altman,0.85
altmann,0.85
bergman,0.85
buchwald,0.85
chaiken,0.85
chaikin,0.85
davidoff,0.85
dorfman,0.85
dubin,0.85
ehrlich,0.85
eisen,0.85
eisner,0.85
farber,0.85
fein,0.85
felman,0.85
finkel,0.85
fischel,0.85
fishman,0.85
fogel,0.85
gershon,0.85
glassman,0.85
goldner,0.85
goldwater,0.85
gottlieb,0.85
greenwald,0.85
grossman,0.85
harkavy,0.85
herzberg,0.85
herzfeld,0.85
hirsch,0.85
hofstein,0.85
israel,0.85
kagan,0.85
kasdan,0.85
kimmelman,0.85
klausner,0.85
kleinman,0.85
kligman,0.85
kogan,0.85
kornblum,0.85
kotler,0.85
kovner,0.85
kushner,0.85
landau,0.85
landauer,0.85
landsman,0.85
lansky,0.85
leibman,0.85
lerner,0.85
levi,0.85
levin,0.85
lewin,0.85
libman,0.85
lifsh,0.85
lipkin,0.85
lipman,0.85
lippman,0.85
lippmann,0.85
lipsky,0.85
litvak,0.85
loeb,0.85
lowy,0.85
luria,0.85
lurie,0.85
maizlish,0.85
margolin,0.85
meir,0.85
mendelson,0.85
mendelssohn,0.85
milgrom,0.85
mintz,0.85
mishkin,0.85
morgenstern,0.85
nachman,0.85
nemerov,0.85
nudelman,0.85
oppenheim,0.85
oppenheimer,0.85
peretz,0.85
pincus,0.85
pinsky,0.85
plotkin,0.85
pogrebin,0.85
rabin,0.85
raskin,0.85
ratner,0.85
ravitz,0.85
reisman,0.85
rifkin,0.85
rifkind,0.85
rivkin,0.85
rosen,0.85
rosengarten,0.85
rosenkrantz,0.85
rosenstock,0.85
rothfeld,0.85
rothkopf,0.85
rubin,0.85
rubinow,0.85
salzberg,0.85
salzman,0.85
schachter,0.85
schechter,0.85
schiff,0.85
schiffman,0.85
schlesinger,0.85
schlossberg,0.85
schmuel,0.85
schoenberg,0.85
schoenfeld,0.85
schwarzberg,0.85
seidenberg,0.85
seligman,0.85
seligmann,0.85
sheinberg,0.85
sheinkopf,0.85
shifman,0.85
shochet,0.85
shwartz,0.85
siegelman,0.85
spiegelman,0.85
spira,0.85
spivak,0.85
steinberger,0.85
steinhardt,0.85
steinman,0.85
sternberger,0.85
sternfeld,0.85
sternlieb,0.85
susskind,0.85
tabachnick,0.85
tornberg,0.85
tuvim,0.85
waldman,0.85
walinsky,0.85
wallerstein,0.85
wasserman,0.85
waxman,0.85
weidberg,0.85
weidenfeld,0.85
weiner,0.85
weinrib,0.85
weisbord,0.85
weisbrod,0.85
weisbuch,0.85
weisburd,0.85
weisenfeld,0.85
weisfeld,0.85
westheimer,0.85
wexler,0.85
wieseltier,0.85
winograd,0.85
zeitlin,0.85
zipperstein,0.85
zuckerwise,0.85
zudkewich,0.85
zwerdling,0.85
zyskind,0.85
abrams,0.8
bergmann,0.8
friedland,0.8
spiro,0.8
abrahams,0.75
adler,0.75
firestone,0.75
abram,0.7
ackerman,0.7
berliner,0.7
blum,0.7
elkin,0.7
ettinger,0.7
feder,0.7
feld,0.7
fried,0.7
gelb,0.7
gelber,0.7
geller,0.7
glasser,0.7
glazer,0.7
glick,0.7
gluck,0.7
goodfriend,0.7
granoff,0.7
greenfield,0.7
hellman,0.7
hertz,0.7
hodes,0.7
isaacs,0.7
isaacson,0.7
jacoby,0.7
kafka,0.7
kahn,0.7
kalman,0.7
kantor,0.7
kasen,0.7
kaufman,0.7
kavner,0.7
kazin,0.7
kohn,0.7
krakow,0.7
lapin,0.7
lazar,0.7
lazarus,0.7
lev,0.7
loew,0.7
malkin,0.7
mandel,0.7
maslow,0.7
meisel,0.7
mendel,0.7
neuberger,0.7
neuwirth,0.7
olshansky,0.7
padwa,0.7
paley,0.7
panitz,0.7
passman,0.7
perel,0.7
perl,0.7
pinkus,0.7
piven,0.7
portnoy,0.7
posner,0.7
potok,0.7
preminger,0.7
radner,0.7
richman,0.7
riklis,0.7
rockower,0.7
rosin,0.7
roskin,0.7
rudin,0.7
russakov,0.7
saban,0.7
sachs,0.7
sackler,0.7
salk,0.7
schatz,0.7
scheidlinger,0.7
schein,0.7
schorr,0.7
schulman,0.7
schwartz,0.7
schwarzbach,0.7
seidman,0.7
sharon,0.7
shimkin,0.7
shulman,0.7
silverfield,0.7
silverstone,0.7
sirkin,0.7
slavin,0.7
sobel,0.7
sokolow,0.7
soros,0.7
spector,0.7
spiegel,0.7
spielman,0.7
steinwald,0.7
swerdlow,0.7
tabak,0.7
tarshish,0.7
tartakoff,0.7
teitel,0.7
topol,0.7
uris,0.7
vexler,0.7
vinik,0.7
weil,0.7
weill,0.7
weiman,0.7
wein,0.7
weinger,0.7
weisbart,0.7
weisel,0.7
weitzner,0.7
wilensky,0.7
wisotsky,0.7
wolinsky,0.7
yalow,0.7
yampolsky,0.7
yarmolinsky,0.7
zaks,0.7
zaslavsky,0.7
zaslow,0.7
zellman,0.7
zelman,0.7
zimmerman,0.7
zorach,0.7
zucker,0.7
zukor,0.7
blau,0.65
grunwald,0.65
jacobson,0.65
laskin,0.65
licht,0.65
lieb,0.65
lieber,0.65
polonsky,0.65
polsky,0.65
saphir,0.65
sapir,0.65
savitsky,0.65
shatz,0.65
simkin,0.65
slifka,0.65
slotnick,0.65
stein,0.65
steiner,0.65
trupin,0.65
wallach,0.65
weinrich,0.65
wiener,0.65
zollman,0.65
zukin,0.65
ackermann,0.6
brenner,0.6
drexler,0.6
elkins,0.6
falk,0.6
goldsmith,0.6
helman,0.6
kassel,0.6
kessler,0.6
kimmel,0.6
kirschner,0.6
klau,0.6
kleiner,0.6
klig,0.6
lasky,0.6
lehman,0.6
leiber,0.6
lustig,0.6
melnick,0.6
patkin,0.6
pressman,0.6
radin,0.6
ringel,0.6
roth,0.6
rudner,0.6
safran,0.6
salant,0.6
sandler,0.6
schor,0.6
sharaf,0.6
shorr,0.6
soloff,0.6
starkman,0.6
stavsky,0.6
stern,0.6
trubek,0.6
weiss,0.6
weissbach,0.6
weisz,0.6
weitz,0.6
wernick,0.6
wilf,0.6
wishnow,0.6
wishny,0.6
wolper,0.6
zeff,0.6
zelnick,0.6
zwillinger,0.6
berger,0.55
blank,0.55
bloom,0.55
breuer,0.55
diamond,0.55
gartner,0.55
gold,0.55
goodman,0.55
grosz,0.55
heller,0.55
hoffman,0.55
hyman,0.55
kaufmann,0.55
kirsch,0.55
klein,0.55
korn,0.55
kranz,0.55
lander,0.55
lesser,0.55
mahler,0.55
olshan,0.55
plaut,0.55
polin,0.55
popkin,0.55
rubel,0.55
ruben,0.55
salinger,0.55
salomon,0.55
scharf,0.55
scher,0.55
schiffer,0.55
schoen,0.55
schreiber,0.55
schwarz,0.55
shor,0.55
silver,0.55
singer,0.55
sokol,0.55
solomons,0.55
spitz,0.55
sporn,0.55
steinmetz,0.55
streit,0.55
taub,0.55
tauber,0.55
thaler,0.55
udell,0.55
ungar,0.55
urbach,0.55
weiler,0.55
weisser,0.55
wenig,0.55
wolfson,0.55
wurzel,0.55
zacharia,0.55
zamel,0.55
zavin,0.55
zilkha,0.55
zimring,0.55
zwick,0.55
abraham,0.5
baron,0.5
block,0.5
buckman,0.5
engel,0.5
fagin,0.5
feller,0.5
fink,0.5
flax,0.5
garber,0.5
golding,0.5
gruber,0.5
handler,0.5
jacobs,0.5
kolski,0.5
krass,0.5
kraus,0.5
lessing,0.5
marx,0.5
mendes,0.5
michaelson,0.5
neiman,0.5
newmann,0.5
orlovsky,0.5
prinz,0.5
puder,0.5
raphael,0.5
rauh,0.5
reiss,0.5
reuben,0.5
sacks,0.5
sagner,0.5
samuelson,0.5
sarna,0.5
scheiner,0.5
schimmel,0.5
schleifer,0.5
schub,0.5
schur,0.5
schussel,0.5
seff,0.5
selzer,0.5
shinder,0.5
skoler,0.5
sobler,0.5
solomon,0.5
spier,0.5
steinbach,0.5
strauss,0.5
swartz,0.5
treger,0.5
viner,0.5
vogel,0.5
wachs,0.5
welikson,0.5
wittenberg,0.5
wolk,0.5
wurman,0.5
yablonsky,0.5
zats,0.5
zauder,0.5
zide,0.5
zur,0.5
zwicker,0.5
berg,0.45
kramer,0.45
krieger,0.45
lehmann,0.45
marcus,0.45
messinger,0.45
popper,0.45
reich,0.45
reiner,0.45
scheider,0.45
schneider,0.45
selz,0.45
sherman,0.45
strausz,0.45
wallenberg,0.45
zinn,0.45
fram,0.4
frank,0.4
franke,0.4
gaba,0.4
garfield,0.4
glass,0.4
graff,0.4
gross,0.4
herman,0.4
hoffmann,0.4
holzer,0.4
lipton,0.4
neumann,0.4
newman,0.4
picker,0.4
presser,0.4
raden,0.4
ruda,0.4
ruder,0.4
russak,0.4
sack,0.4
sager,0.4
samuels,0.4
saron,0.4
schlachter,0.4
schuster,0.4
seidel,0.4
shuster,0.4
stelzer,0.4
stoller,0.4
stolz,0.4
stricker,0.4
teller,0.4
tobias,0.4
volk,0.4
wax,0.4
weichert,0.4
winkler,0.4
zelenko,0.4
zimmer,0.4
zoll,0.4
davidson,0.35
barron,0.3
engelhardt,0.3
fischer,0.3
gordon,0.3
grun,0.3
hahn,0.3
kohl,0.3
krause,0.3
kuhn,0.3
mayer,0.3
metzger,0.3
platt,0.3
samuel,0.3
schaeffer,0.3
schiller,0.3
schindler,0.3
schnabel,0.3
schwab,0.3
stahl,0.3
steinbrenner,0.3
sturm,0.3
wolff,0.3
zerbe,0.3
fisher,0.25
